application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
14201107,07/03/14,706,G06F,anthony,m,butler,1,,AE
14301038,10/06/14,706,G06N,jose,oriol lopez,berengueres,1,,AE
14301038,10/06/14,706,G06N,mohammed,abdulla khamis,alshamsi,4,,AE
14301038,10/06/14,706,G06N,dmitry,,efimov,3,,AE
14301038,10/06/14,706,G06N,mohammed,gharib,alsaedi,5,,AE
14301038,10/06/14,706,G06N,ahmed,musallem,almuharami,6,,AE
14301038,10/06/14,706,G06N,saeed,rashed,alshemaili,7,,AE
14301038,10/06/14,706,G06N,zayed,mohammed,almesabi,2,,AE
10045668,24/10/01,706,G05B,guillermo,,sentoni,2,,AR
12026460,05/02/08,706,G06Q,juan,cruz,nores,1,,AR
12026460,05/02/08,706,G06Q,fernando,javier,rodriguez olivera,3,,AR
12026460,05/02/08,706,G06Q,emilio,,lopez-gabeiras,2,,AR
12118361,09/05/08,706,G06N,agustina,,shinji,3,,AR
12118361,09/05/08,706,G06N,juan,pablo,pozzoli,1,,AR
12118361,09/05/08,706,G06N,luis,e,infanti,2,,AR
12483391,12/06/09,706,G06K,jorge,,sanchez,2,,AR
12535579,04/08/09,706,G06Q,eun,young,hwang,2,,AR
12541636,14/08/09,706,G06K,jorge,,sanchez,2,,AR
12644114,22/12/09,706,G06F,pablo,andr?s,garralda,2,,AR
12644114,22/12/09,706,G06F,carlos,hector,carrizo,1,,AR
13378512,12/03/12,706,G06N,luciana,,ferrer,10,,AR
13378512,12/03/12,706,G06F,luciana,,ferrer,10,,AR
14035946,24/09/13,706,G06Q,eun,young,hwang,2,,AR
9847824,05/07/01,706,G06N,bernard,,mitterauer,1,,AT
10529610,25/04/05,706,G06K,gerhard,,kranner,1,,AT
10910409,03/08/04,706,G05B,keith,,mcritchie,2,,AT
10910409,03/08/04,706,G05B,konrad,,klein,1,,AT
11934648,02/11/07,706,G06N,axel,,fano,1,,AT
11970336,07/01/08,706,G01S,guenter,,honisch,1,,AT
12038236,27/02/08,706,G06Q,reinhold,,plosch,1,,AT
12038236,27/02/08,706,G06Q,fritz,,stallinger,4,,AT
12038236,27/02/08,706,G06Q,herbert,,prahofer,3,,AT
12175429,17/07/08,706,E21B,georg,,zangl,2,,AT
12251714,15/10/08,706,G06N,stefan,,galler,4,,AT
12346965,31/12/08,706,E21B,matteo,,giovannoli,2,,AT
12498996,07/07/09,706,H04L,jean-pierre,,seifert,5,,AT
12505592,20/07/09,706,G06N,gustavo,,nunez,2,,AT
12505592,20/07/09,706,G06N,michael,,stundner,1,,AT
12505592,20/07/09,706,G06N,andreas,,al-kinani,4,,AT
12505592,20/07/09,706,G06N,georg,,zangl,3,,AT
12536677,06/08/09,706,G06N,roland,,wunderling,3,,AT
13225302,02/09/11,706,G06T,denis,,kalkofen,2,,AT
13225302,02/09/11,706,G06T,dieter,,schmalstieg,3,,AT
13225302,02/09/11,706,G06T,markus,,tatzgern,1,,AT
13441138,06/04/12,706,G06N,francisco,eduardo,de sousa webber,1,,AT
14111092,13/11/13,706,G01M,nikolaus,,keuth,5,,AT
14111092,13/11/13,706,G01M,stefan,,jakubek,3,,AT
14111092,13/11/13,706,G01M,markus,,stadlbauer,1,,AT
14111092,13/11/13,706,G01M,christoph,,hametner,2,,AT
14311113,20/06/14,706,G06F,alexandra,,loew-baselli,1,,AT
14311113,20/06/14,706,G06N,alexandra,,loew-baselli,1,,AT
14438533,24/04/15,706,G06N,ronald,,de haan,4,,AT
9618860,18/07/00,706,G06N,lindsay,andrew,peters,4,,AU
9618860,18/07/00,706,G06N,paul,justin lloyd,compton,1,,AU
9618860,18/07/00,706,G06N,leslie,,lazarus,3,,AU
9618860,18/07/00,706,G06N,michael,bonnell,harries,5,,AU
9618860,18/07/00,706,G06N,glenn,andrew,edwards,2,,AU
9807588,04/09/01,706,,mark,richard,reay,1,,AU
9958513,05/12/01,706,G06N,peter,solly,goldschmidt,1,,AU
10128481,24/04/02,706,H04N,ryszard,,kowalczyk,3,,AU
10128481,24/04/02,706,H04N,farhad,fuad,islam,5,,AU
10128481,24/04/02,706,H04N,thomas,phillip alexander,howard,4,,AU
10128481,24/04/02,706,H04N,dong,mei,zhang,2,,AU
10128481,24/04/02,706,H04N,mikhail,,prokopenko,1,,AU
10128481,24/04/02,706,H04N,michael,alexander,oldfield,6,,AU
10450975,23/02/04,706,G06N,paul,,guignard,1,,AU
10488445,03/03/04,706,G06N,paul,,guignard,1,,AU
10564105,09/01/06,706,G06K,riaan,,brits,2,,AU
10564105,09/01/06,706,G06K,carl,,wocke,1,,AU
10577189,21/02/07,706,G06K,kevin,e,gates,1,,AU
10581411,07/08/06,706,B25J,timothy,ramford,vittor,1,,AU
10581411,07/08/06,706,B25J,richard,adrian,willgoss,2,,AU
10592102,06/12/07,706,G06Q,andrew,,barry,3,,AU
10592102,06/12/07,706,G06Q,thomas,johnston,reid,2,,AU
10592102,06/12/07,706,G06Q,peter,ross,johnson,1,,AU
10613790,03/07/03,706,G06F,hang,shun,lee,1,,AU
10709131,15/04/04,706,G06Q,david,,mead,2,,AU
10709131,15/04/04,706,G06Q,peter,,johnson,1,,AU
10908495,13/05/05,706,G06N,andrew,,barry,1,,AU
11423436,10/06/06,706,G06N,audun,,josang,2,,AU
11423436,10/06/06,706,G06N,david,scott,mcanally,3,,AU
11423436,10/06/06,706,G06N,simon,kevin john,pope,1,,AU
11441672,25/05/06,706,H04L,christoph,karl,ladue,1,,AU
11521266,14/09/06,706,G06F,thomas,,hettel,2,,AU
11572193,16/01/07,706,G06K,adam,,kowalczyk,1,,AU
11572193,16/01/07,706,G06K,alex,,smola,2,,AU
11623160,15/01/07,706,H04L,andrew,,bernoth,1,,AU
11668564,30/01/07,706,G06Q,james,e,jackson,1,,AU
11721438,12/06/07,706,G06N,kevin,e,gates,1,,AU
11722793,29/06/07,706,G06K,kevin,e,gates,1,,AU
11791766,11/09/08,706,G01N,joel,edward,brakey,2,,AU
11791766,11/09/08,706,G01N,anthony,lee,senyard,1,,AU
11829592,27/07/07,706,G06F,ian,,oliver,3,,AU
11829592,27/07/07,706,G06F,ryan,,pereira,4,,AU
11829592,27/07/07,706,G06F,rolf,,repasi,1,,AU
11829592,27/07/07,706,G06F,simon,,clausen,2,,AU
11832016,01/08/07,706,G06N,yan,,zhang,1,,AU
11832016,01/08/07,706,G06N,wei,,qu,2,,AU
11854406,12/09/07,706,G06F,sonia,,lippe,3,,AU
11962799,21/12/07,706,G06F,christopher,r,gentle,2,,AU
12004980,20/12/07,706,G06T,dean,crawford,engelhardt,2,,AU
