application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
12119172,2008-05-12,706,G06N,daniel,m,rice,1,,US
14205300,2014-03-11,706,G06N,stephen,,lucey,4,,US
12799041,2010-04-16,706,G10L,thomas,d,humphrey,1,AK,US
13251051,2011-09-30,706,G05B,john,weldon,kelley,2,AK,US
13251051,2011-09-30,706,G05B,michael,d,scott,5,AK,US
13251051,2011-09-30,706,G05B,brian,d,merriman,6,AK,US
13468585,2012-05-10,706,G06N,kip,p,sprague,2,AK,US
13889311,2013-05-07,706,G06N,john,weldon,kelley,2,AK,US
13889311,2013-05-07,706,G06N,michael,dennis,scott,3,AK,US
13966234,2013-08-13,706,G05B,dane,ryan,brady,4,AK,US
13966234,2013-08-13,706,G05B,michael,dennis,scott,7,AK,US
13966241,2013-08-13,706,G05B,john,weldon,kelley,2,AK,US
13966241,2013-08-13,706,G05B,michael,dennis,scott,5,AK,US
13966256,2013-08-13,706,G05B,john,weldon,kelley,2,AK,US
13966256,2013-08-13,706,G05B,michael,dennis,scott,5,AK,US
14267061,2014-05-01,706,G06N,michael,dennis,scott,2,AK,US
14267061,2014-05-01,706,G05B,michael,dennis,scott,2,AK,US
14514029,2014-10-14,706,G06F,james,r,moulic,6,AK,US
10175465,2002-06-18,706,H04L,stefan,,olsson,2,AL,US
10179970,2002-06-26,706,G06N,heggere,,ranganath,2,AL,US
10179970,2002-06-26,706,G06N,michele,r,banish,1,AL,US
10314420,2002-12-09,706,G06N,robert,l,moore,1,AL,US
11353876,2006-02-14,706,H04L,stefan,,olsson,2,AL,US
11406805,2006-04-18,706,G09B,mikel,d,petty,4,AL,US
11818175,2007-06-13,706,G06Q,william,a,laidig,1,AL,US
11888828,2007-08-02,706,G06N,gordon,s,streeter,1,AL,US
11888828,2007-08-02,706,G06N,andrew,n,potter,2,AL,US
12042434,2008-03-05,706,G06F,kathryn,,marietta-tondin,4,AL,US
12042451,2008-03-05,706,G06N,kathryn,,marietta-tondin,4,AL,US
12049930,2008-03-17,706,G05B,david,charles,gross,1,AL,US
12081352,2008-04-15,706,G06N,sharon,,sollie,6,AL,US
12081352,2008-04-15,706,G06N,gregory,,sollie,5,AL,US
12081352,2008-04-15,706,G06N,donald,,mikell,4,AL,US
12081352,2008-04-15,706,G06N,jeffrey,,buehrle,3,AL,US
12081352,2008-04-15,706,G06N,james,,bathurst,2,AL,US
12081352,2008-04-15,706,G06N,rodney,,kellogg,1,AL,US
12081353,2008-04-15,706,G06N,donald,,mikell,4,AL,US
12081353,2008-04-15,706,G06N,jeffrey,,buehrle,3,AL,US
12081353,2008-04-15,706,G06N,gregory,,sollie,5,AL,US
12081353,2008-04-15,706,G06N,rodney,,kellogg,1,AL,US
12081353,2008-04-15,706,G06N,james,,bathurst,2,AL,US
12081353,2008-04-15,706,G06N,sharon,,sollie,6,AL,US
12100612,2008-04-10,706,G06Q,sandy,a,brasher,2,AL,US
12100612,2008-04-10,706,G06Q,ronald,b,baldwin,1,AL,US
12139743,2008-06-16,706,G06Q,landon,c g,miller,1,AL,US
12415828,2009-03-31,706,H04L,olsson,,stefan,2,AL,US
12683758,2010-01-07,706,G06N,gregory,,sollie,3,AL,US
12683758,2010-01-07,706,G06N,don,,mikell,2,AL,US
12683758,2010-01-07,706,G06N,rawdon,,kellogg,1,AL,US
13083184,2011-04-08,706,G06F,roslyn,,mannon,9,AL,US
13213983,2011-08-19,706,G06F,arman,,rawls,8,AL,US
13444725,2012-04-11,706,G01R,james,stephen,ledford,4,AL,US
13632277,2012-10-01,706,G06Q,rawdon,w,kellogg,1,AL,US
13770642,2013-02-19,706,G06F,john,,cole,1,AL,US
13770642,2013-02-19,706,G06F,ron,,litzenberger,3,AL,US
13770642,2013-02-19,706,G06F,mete,,kamil,2,AL,US
13838073,2013-03-15,706,G06Q,rawdon,w,kellogg,1,AL,US
13838073,2013-03-15,706,G06Q,don,,mikell,2,AL,US
14275416,2014-05-12,706,G06F,alexandre,g,volkov,1,AL,US
14275416,2014-05-12,706,G06N,alexandre,g,volkov,1,AL,US
14451768,2014-08-05,706,G06N,xingang,,fu,3,AL,US
14451768,2014-08-05,706,G06N,shuhui,,li,1,AL,US
14451768,2014-08-05,706,G05B,shuhui,,li,1,AL,US
14451768,2014-08-05,706,G05B,xingang,,fu,3,AL,US
14582499,2014-12-24,706,G06Q,rawdon,w,kellogg,1,AL,US
12695237,2010-01-28,706,G06N,ronald,w,carter,2,AR,US
13404802,2012-02-24,706,G06Q,avkash,piyush,patel,2,AR,US
13630369,2012-09-28,706,G06F,digvijay,singh,lamba,1,AR,US
13852884,2013-03-28,706,G06N,nikesh,lucky,garera,1,AR,US
13868808,2013-04-23,706,G06K,nikesh,lucky,garera,1,AR,US
13871636,2013-04-26,706,G06N,nikesh,lucky,garera,1,AR,US
13874343,2013-04-30,706,G06N,andrew,benjamin,ray,1,AR,US
13874353,2013-04-30,706,G06N,andrew,benjamin,ray,1,AR,US
14082548,2013-11-18,706,G06N,shuvamoy,,saha,5,AR,US
14082548,2013-11-18,706,G06N,ajay,k,behuria,1,AR,US
14473109,2014-08-29,706,G06N,chong,,sun,1,AR,US
14473351,2014-08-29,706,G06N,chong,,sun,1,AR,US
14479051,2014-09-05,706,G06N,terry,,talley,1,AR,US
14479051,2014-09-05,706,G06N,derek,,leonard,2,AR,US
14479051,2014-09-05,706,G06N,adam,,zimmerman,3,AR,US
14707624,2015-05-08,706,G06N,jennifer,,stegemoller,3,AR,US
14707624,2015-05-08,706,G06N,michael,,atchley,2,AR,US
09478925,2000-01-06,706,G06F,john,jason,auvenshine,1,AZ,US
09968263,2001-10-01,706,G11C,momtchil,mihaylov,milev,1,AZ,US
10277595,2002-10-22,706,G01V,ferenc,,szidarovszky,3,AZ,US
10277595,2002-10-22,706,G01V,mary,m,poulton,2,AZ,US
10660305,2003-09-11,706,G06F,hasan,,davulcu,10,AZ,US
10753012,2004-01-07,706,G06T,jeanne,k,pomatto,2,AZ,US
10753012,2004-01-07,706,G06T,timothy,r,littlefield,1,AZ,US
10947692,2004-09-23,706,G06N,paul,j,seger,1,AZ,US
11275308,2005-12-22,706,G06Q,robert,e,morgan,1,AZ,US
11423382,2006-06-09,706,G06N,martin,l,stoneman,1,AZ,US
11459004,2006-07-20,706,G06F,joseph,smith,hyde,4,AZ,US
11459004,2006-07-20,706,G06F,michael,thomas,benhase,3,AZ,US
11553961,2006-10-27,706,G06K,jack,,ring,2,AZ,US
11580216,2006-10-13,706,G06N,eugene,,buzzeo,1,AZ,US
11580216,2006-10-13,706,G06N,stan,,campbell,2,AZ,US
11735329,2007-04-13,706,G06Q,mark,,montgomery,1,AZ,US
11754503,2007-05-29,706,G01V,ferenc,,szidarovszky,3,AZ,US
11754503,2007-05-29,706,G01V,mary,m,poulton,2,AZ,US
11761878,2007-06-12,706,G06N,james,r,miller,1,AZ,US
12019467,2008-01-24,706,G05B,paul,r,dmura,8,AZ,US
12026892,2008-02-06,706,G06N,jon,,darling,2,AZ,US
12055881,2008-03-26,706,G06F,shawn,,fitzpatrick,2,AZ,US
12055881,2008-03-26,706,G06F,warren,,adelman,1,AZ,US
12055881,2008-03-26,706,G06F,matthew,,jallo,3,AZ,US
12165440,2008-06-30,706,G06N,david,m,kolbet,3,AZ,US
12165440,2008-06-30,706,G06N,randy,,magnuson,4,AZ,US
12165440,2008-06-30,706,G06N,timothy,j,felke,1,AZ,US
12192630,2008-08-15,706,G05B,emmanuel,obiesie,nwadiogbu,1,AZ,US
12192630,2008-08-15,706,G05B,dinkar,,mylaraswamy,2,AZ,US
12192630,2008-08-15,706,G05B,sunil,,menon,3,AZ,US
12192665,2008-08-15,706,G06F,david,m,kolbet,4,AZ,US
12192665,2008-08-15,706,G06F,randy,,magnuson,5,AZ,US
12192665,2008-08-15,706,G06F,timothy,j,felke,2,AZ,US
12192700,2008-08-15,706,G06N,randy,,magnuson,5,AZ,US
12192700,2008-08-15,706,G06N,timothy,j,felke,2,AZ,US
12192700,2008-08-15,706,G06N,david,m,kolbet,4,AZ,US
12212848,2008-09-18,706,G05B,kenneth,s,plache,1,AZ,US
12212848,2008-09-18,706,G05B,paul,r,dmura,2,AZ,US
12366475,2009-02-05,706,G05B,randy,,magnuson,6,AZ,US
12366475,2009-02-05,706,G05B,david,michael,kolbet,4,AZ,US
12366475,2009-02-05,706,G05B,asif,,khalak,1,AZ,US
12366475,2009-02-05,706,G05B,qingqiu,ginger,shao,5,AZ,US
12475357,2009-05-29,706,G06F,christopher,f,clark,3,AZ,US
12475357,2009-05-29,706,G06F,david,k,cassetti,1,AZ,US
12475357,2009-05-29,706,G06F,lokpraveen,bhupathy,mosur,4,AZ,US
12481424,2009-06-09,706,G06Q,evar,dare,nering,1,AZ,US
12748686,2010-03-29,706,G06N,j,daniel,benton,4,AZ,US
12765958,2010-04-23,706,G06N,richard,d,gardner,1,AZ,US
12876647,2010-09-07,706,G06F,christopher,c,lynn,1,AZ,US
12876647,2010-09-07,706,G06F,neil,,kunst,3,AZ,US
12876647,2010-09-07,706,G06F,byoung,uk,kim,2,AZ,US
13022839,2011-02-08,706,G06N,martin,l,stoneman,1,AZ,US
13027987,2011-02-15,706,G06N,james,r,miller,1,AZ,US
13030158,2011-02-18,706,G06Q,randy,d,bennett,2,AZ,US
13073536,2011-03-28,706,G06Q,denis,,malov,1,AZ,US
13073536,2011-03-28,706,G06Q,sricharan,,poundarikapuram,2,AZ,US
13162040,2011-06-16,706,G06F,john,,ulinski,1,AZ,US
13166752,2011-06-22,706,G06N,james,r,miller,1,AZ,US
13166752,2011-06-22,706,G06F,james,r,miller,1,AZ,US
13175603,2011-07-01,706,G06F,mariano,j,phielipp,1,AZ,US
13175603,2011-07-01,706,G06F,magdiel,f,galan,2,AZ,US
13291761,2011-11-08,706,G06K,ross,,maciejewski,3,AZ,US
13322626,2012-01-30,706,G06F,stephen,,rudolph,3,AZ,US
13322626,2012-01-30,706,G06F,ross,,maciejewski,1,AZ,US
13330346,2011-12-19,706,G06F,erskine,,thompson,1,AZ,US
13330364,2011-12-19,706,G06F,erskine,,thompson,1,AZ,US
13343611,2012-01-04,706,G06Q,arkadiy,isaakovich,reznik,2,AZ,US
13484696,2012-05-31,706,G06N,shayok,,chakraborty,1,AZ,US
13484696,2012-05-31,706,G06N,vineeth,nallure,balasubramanian,2,AZ,US
13484696,2012-05-31,706,G06N,sethuraman,,panchanathan,3,AZ,US
13532201,2012-06-25,706,G06Q,evar,dare,nering,1,AZ,US
13532208,2012-06-25,706,G06Q,evar,dare,nering,1,AZ,US
13532216,2012-06-25,706,G06N,evar,dare,nering,1,AZ,US
13716940,2012-12-17,706,G06N,nadya,t,bliss,3,AZ,US
13754557,2013-01-30,706,G09B,mark,w,patton,4,AZ,US
13754557,2013-01-30,706,G09B,jay,f,nunamaker,1,AZ,US
13754557,2013-01-30,706,G09B,judee,k,burgoon,2,AZ,US
13894929,2013-05-15,706,G06N,scot,,zola,4,AZ,US
13930061,2013-06-28,706,G06F,tim,,felke,4,AZ,US
13930061,2013-06-28,706,G06F,jeff,,vanderzweep,6,AZ,US
13930061,2013-06-28,706,G06F,nagabhushana,rao,begur,5,AZ,US
13963397,2013-08-09,706,G06F,michael,t,bahns,1,AZ,US
13971761,2013-08-20,706,G06F,sourav,s,bhattacharya,1,AZ,US
13971761,2013-08-20,706,G06N,sourav,s,bhattacharya,1,AZ,US
14158804,2014-01-18,706,G06N,melissa,j g,santero,1,AZ,US
14158804,2014-01-18,706,H04L,nedzad,,taljanovic,2,AZ,US
14158804,2014-01-18,706,H04L,melissa,j g,santero,1,AZ,US
14158804,2014-01-18,706,G06N,nedzad,,taljanovic,2,AZ,US
14171806,2014-02-04,706,G06Q,john,howard,messing,1,AZ,US
14173533,2014-02-05,706,G06N,john,k,nguyen,2,AZ,US
14173533,2014-02-05,706,G06F,john,k,nguyen,2,AZ,US
14194058,2014-02-28,706,G06N,nagabhushana,rao,begur,3,AZ,US
14194058,2014-02-28,706,G06N,tim,,felke,2,AZ,US
14194058,2014-02-28,706,G06N,jeff,,vanderzweep,1,AZ,US
14198212,2014-03-05,706,G06N,jieping,,ye,4,AZ,US
14198212,2014-03-05,706,G06N,steven,,corman,3,AZ,US
14198212,2014-03-05,706,G06N,hasan,,davulcu,1,AZ,US
14254811,2014-04-16,706,G06N,bradley,d,schulze,2,AZ,US
14293094,2014-06-02,706,G06Q,huiji,,gao,2,AZ,US
14293094,2014-06-02,706,G06N,huiji,,gao,2,AZ,US
14304776,2014-06-13,706,G06N,james,r,miller,1,AZ,US
14321314,2014-07-01,706,G06N,walter,hughes,lindsay,1,AZ,US
14376181,2014-08-01,706,G06N,nima,,tajbakhsh,4,AZ,US
14376181,2014-08-01,706,G06N,wenzhe,,xue,3,AZ,US
14376181,2014-08-01,706,G06N,jianming,,liang,1,AZ,US
14376181,2014-08-01,706,G06N,hong,,wu,2,AZ,US
14470673,2014-08-27,706,G06N,vadim,,kouklev,2,AZ,US
14470673,2014-08-27,706,G06N,michael,h,slayton,1,AZ,US
14476364,2014-09-03,706,G06N,xinxin,,zhao,2,AZ,US
14476364,2014-09-03,706,G06N,guoliang,,xue,3,AZ,US
14476364,2014-09-03,706,G06N,lingjun,,li,1,AZ,US
14711181,2015-05-13,706,G06F,martha,jane,mohler,2,AZ,US
14711181,2015-05-13,706,G06F,bijan,,najafi,1,AZ,US
14711181,2015-05-13,706,G06F,nima,,toosizadeh,3,AZ,US
14754337,2015-06-29,706,G06N,perry,m,spagnola,1,AZ,US
